"","tipoA","tipoB","varA","varB","copula","par","tau","VaR_A","VaR_B","VaR_S","CVaR_S"
"1","sectores","categorias","HÍDRICO","Hidrometereológico","SC",1.54805048743977,0.436310163262875,2.58113463130493,2.2450933591537,4.65107208958128,6.05832589815646
"2","sectores","categorias","INFRAESTRUCTURA","Hidrometereológico","SC",3.58151911270844,0.641674612302905,2.24423545750595,2.24495978712403,4.45522451198632,5.99011701897125
"3","sectores","categorias","OTROS","Hidrometereológico","SC",2.43736606311193,0.549282170649361,3.31471930708737,2.25517241978675,5.48726087663042,7.40935011489202
"4","sectores","categorias","PRODUCTIVO","Hidrometereológico","SC",1.54684167849542,0.436118050567059,3.9780789263028,2.24912818158459,6.01800916446165,8.51681300539037
"5","sectores","categorias","SOCIAL","Hidrometereológico","SC",1.66590141884956,0.454431592263699,22.4848511953106,2.25158363159644,24.5951473132311,25.8323252126677
"6","sectores","categorias","HÍDRICO","Geológico","C",0.543831896595705,0.213784526140855,2.57951886467575,3.8200031209552,5.4748191239736,6.72972559608163
"7","sectores","categorias","INFRAESTRUCTURA","Geológico","C",0.416875509016288,0.172485304874459,2.26316999817282,3.87582478092311,5.18942525443603,6.5080634600168
"8","sectores","categorias","OTROS","Geológico","C",0.382626395978817,0.160590177555566,3.30806863922905,3.88708625632782,6.01843413628305,7.44778122318886
"9","sectores","categorias","PRODUCTIVO","Geológico","C270",-1.14862214061286,-0.364801519304978,4.03169913374602,3.81769527030484,5.51487020252922,7.22672095013245
"10","sectores","categorias","SOCIAL","Geológico","N",0.421406143545337,0.276926612006671,22.4906691807955,3.85203919569814,25.6518393045835,27.124730925977
